food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g
ASC001,Hot tea (Garam Chai),asc_manual,68.16,16.14,2.58,0.39,0.53,2.58
ASC002,Instant coffee,asc_manual,97.77,23.16,3.65,0.64,0.75,3.62
ASC003,Espreso coffee,asc_manual,217.00,51.54,6.62,1.75,2.14,6.53
ASC004,Iced tea,asc_manual,44.09,10.34,2.70,0.03,0.01,2.70
ASC005,Raw mango drink (Aam panna),asc_manual,152.39,35.92,9.05,0.16,0.03,7.49
ASC006,Fruit Punch (with fresh juices),asc_manual,153.89,36.12,9.38,0.14,0.03,9.25
ASC007,Fruit Punch (with squashes),asc_manual,98.22,23.13,5.99,0.07,0.02,5.88
ASC008,Lemonade,asc_manual,88.66,20.80,5.48,0.03,0.01,5.47
ASC009,Lem-o-gin,asc_manual,91.63,21.52,5.55,0.08,0.03,5.38
ASC010,Cumin infused water (Jeere/Zeere ka pani),asc_manual,38.23,9.09,1.86,0.17,0.11,1.46
ASC011,Coco pine cooler,asc_manual,138.47,32.75,5.72,0.56,1.00,5.52
ASC012,Summer cooler,asc_manual,95.22,22.43,5.43,0.37,0.04,5.21
ASC014,Hot cocoa,asc_manual,378.24,90.10,9.23,3.36,4.56,9.01
ASC015,Cold coffee with ice cream,asc_manual,286.61,67.85,11.24,1.57,2.11,11.18
ASC016,Banana milkshake (Kele milkshake),asc_manual,274.33,65.31,9.15,1.84,2.37,7.96
ASC017,Mango milkshake (Aam milkshake),asc_manual,239.13,56.90,7.23,1.73,2.35,7.15
ASC018,Pineapple milkshake (Ananas milkshake),asc_manual,235.06,55.72,7.62,1.66,2.23,7.60
ASC019,Orange milkshake (Narangi milkshake),asc_manual,241.50,57.42,7.11,1.86,2.52,7.08
ASC020,Egg nog,asc_manual,407.68,97.14,8.15,4.78,5.11,8.06
ASC021,Sweet Lassi (Meethi lassi),asc_manual,151.19,35.66,6.51,1.29,0.68,6.51
ASC022,Lassi (salted),asc_manual,79.43,18.84,1.86,1.35,0.72,1.84
ASC023,Cheese and chilli sandwich ,asc_manual,916.65,218.11,27.40,6.80,9.78,2.38
ASC024,Egg sandwich (Ande ka sandwich),asc_manual,1198.25,285.96,29.16,8.69,15.80,1.86
ASC025,Cucumber sandwich (Kheere ka sandwich),asc_manual,792.81,188.60,25.77,4.80,8.00,1.64
ASC026,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),asc_manual,1080.78,257.71,29.10,8.20,12.80,4.10
ASC027,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),asc_manual,1020.45,243.32,26.92,7.92,12.27,2.85
ASC028,Chicken sandwich,asc_manual,1063.58,253.27,25.38,13.12,11.75,1.60
ASC029,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),asc_manual,1223.06,291.43,28.54,9.53,16.14,2.82
ASC030,Rainbow sandwich,asc_manual,1145.57,272.75,34.26,7.75,12.54,4.05
ASC031,Club sandwich ,asc_manual,982.35,235.32,18.51,7.31,15.12,2.01
ASC032,Vegetarian club sandwich,asc_manual,829.67,198.33,19.68,5.45,11.33,2.08
ASC033,Pin wheel sandwich,asc_manual,1295.40,311.52,14.00,8.77,24.93,1.45
ASC034,Carrot apple sandwich (Gajar aur seb ka sandwich),asc_manual,899.82,214.11,29.04,5.30,9.12,5.30
ASC035,Salami sandwich,asc_manual,1068.35,255.59,21.54,8.70,15.51,2.00
ASC036,Vegetable and mayonnaise sandwich,asc_manual,1020.23,244.26,23.20,4.47,15.40,2.35
ASC037,Egg and tomato sandwich (Ande aur tamatar ka sandwich),asc_manual,933.23,222.11,25.90,7.66,10.51,2.09
ASC038,Sweet open sandwich,asc_manual,1026.93,244.25,39.24,4.99,8.15,12.23
ASC039,Mushroom and cheese sandwich (toasted),asc_manual,951.30,227.42,21.01,7.79,13.01,2.11
ASC040,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),asc_manual,939.42,224.58,21.42,6.82,12.95,2.67
ASC041,Pea potato sandwich (toasted) (Matar aloo ka sandwich),asc_manual,692.60,164.90,25.17,4.60,5.43,1.33
ASC042,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),asc_manual,1046.81,249.56,24.05,12.40,11.98,6.40
ASC043,Chicken sandwich (toasted),asc_manual,705.58,167.37,18.82,12.08,5.32,2.13
ASC044,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),asc_manual,723.50,171.78,20.26,11.06,5.61,1.94
ASC045,Classic club sandwich,asc_manual,840.30,200.83,18.49,6.74,11.56,1.86
ASC046,Sesame toast,asc_manual,2042.69,495.19,11.15,1.90,49.38,1.46
ASC047,Cracked wheat porridge (Meetha daliya),asc_manual,341.09,81.57,8.87,2.64,4.08,5.12
ASC048,Semolina porridge (Suji/Rava daliya),asc_manual,423.06,100.89,12.39,3.75,4.08,7.54
ASC050,Oatmeal Porridge,asc_manual,306.46,72.85,8.77,2.60,3.22,5.20
ASC051,Cornflakes with milk,asc_manual,493.71,117.33,14.95,3.59,5.12,9.97
ASC052,Rice flakes (Chiwda/Aval),asc_manual,471.37,112.44,15.57,3.62,3.99,7.28
ASC053,Wheat flakes,asc_manual,471.37,112.44,15.57,3.62,3.99,7.28
ASC054,Murmura (Puffed rice),asc_manual,475.04,113.32,15.67,3.62,4.04,7.31
ASC055,Puffed wheat (Murmure/Moori),asc_manual,475.04,113.32,15.67,3.62,4.04,7.31
ASC056,Boiled egg (Ubla anda),asc_manual,189.77,45.35,0.12,4.43,3.04,0.00
ASC057,Fried Egg ,asc_manual,928.19,223.67,0.31,11.59,19.62,0.00
ASC058,Poached egg,asc_manual,518.05,123.87,0.37,11.98,8.19,0.05
ASC059,Scrambled egg (Ande ki bhurji),asc_manual,649.51,155.97,1.35,10.29,12.21,1.08
ASC060,Baked egg ,asc_manual,916.63,218.85,15.42,11.88,12.65,1.66
ASC061,Plain omelette/omlet,asc_manual,1127.43,272.41,0.64,9.66,25.74,0.51
ASC062,Stuffed egg omelette/omlet,asc_manual,843.31,203.51,2.30,8.60,17.77,1.57
ASC063,Pancake,asc_manual,846.21,203.36,20.49,5.68,10.82,3.32
ASC064,Keema pancake,asc_manual,733.07,176.27,9.56,9.01,11.25,2.20
ASC065,Vegetable pancake,asc_manual,520.55,125.18,12.24,3.87,6.57,2.09
ASC066,Jam and fruit pancake,asc_manual,675.43,162.02,20.73,3.79,7.01,7.85
ASC067,Khoa and coconut pancake,asc_manual,1138.78,271.98,27.32,6.98,15.29,16.47
ASC068,Brown stock,asc_manual,89.24,21.32,0.25,1.95,1.38,0.14
ASC069,Vegetable stock,asc_manual,72.84,17.60,0.96,0.30,1.38,0.44
ASC070,Chicken stock,asc_manual,125.02,29.88,0.37,3.69,1.51,0.20
ASC079,Clear tomato soup (Tamatar ka soup),asc_manual,330.90,80.07,3.45,4.79,12.22,1.44
ASC080,Lentil soup,asc_manual,129.85,31.17,3.94,9.65,11.68,1.06
ASC081,Chicken consomme (Clear chicken soup),asc_manual,199.24,47.94,1.19,11.47,12.02,0.54
ASC082,Cream of tomato soup,asc_manual,404.60,97.81,3.93,4.61,13.12,1.81
